Country,Segment,Total Coverage,publication_year,Audit Name,Audit Type,Data Source,Universe,Projection,Frequency (MIDAS),Backdata (MIDAS),Sales Level,Local Currency,Icons not on MIDAS,Segments not covered,"Covered locally, not on MIDAS",Notes,Market Segment,Frequency (Local),Backdata (Local),Corporation,Market Segmentation
Saudi Arabia,Tender,1,2022,Saudi Arabia Customized Institution Market (SCIM),Government Tender,30 Distributors,Tender market,Not projected,Quarterly,From Q1 2014,Trade,Saudi Riyals,-,-,-,"Notes

•   The SCIM covers government tenders for supply to government and semi- government institutions and hospitals
•   Although the tender data is captured at the supplied volume level, prices and sales values are calculated using the published Saudi FDA price list",0.4,Monthly,24 months,Local,-
Saudi Arabia,Retail,1,2022,Saudi Arabia Pharmaceutical Index (SAPI),Retail Sell-in,"126 pharmacies, 20 hospital pharmacies and 32 distributors","4,654 pharmacies & 145 private hospital pharmacies",Distributor data unprojected Pharmacy panels projected,Monthly,144 months,Trade,Saudi Riyals,-,-,-,"Notes

•   Although named Saudi Arabia Retail on MIDAS, the SAPI reports on the total private market: purchases of private & chain pharmacies, private clinics and hospitals, and subagents
•   Data relating to sales transactions are collected at the following points:
I.  Distributors contribute sales to retail pharmacies, private hospitals/clinics
II. Pharmacies contributing purchase transactions as hard copy invoices",0.45,Monthly,60 months,Local,-
Russian Federation,RLO,0.98,2022,Russia Regional Reimbursement Audit (RLO),Government Tender,Official website of Government platform for purchasing,N/A,Not projected,From M01 2013,From M01 2013,Trade,Russian Rubles,DOT,-,-,"Notes

•   The Russia Regional Reimbursement audit is a non-projected measurement of regional tender pharma purchasing, where the DLO audit is a measurement of federal tender purchasing
•   Products in both the DLO and RLO audits are distributed through pharmacies, either specialized (such as in-hospital) or through commercial pharmacies, where products are stored in a separate space from out-of-pocket retail products
•   The DLO and RLO data is distributed via retail pharmacy; however, it is not viewed locally as retail, due to completely different market access, and the nature of products involved
•   Due to complexities with the data acquisition process, there is some level of double-counting for some products between the DLO and RLO audits",0.07,Monthly,From M01 2013,Local & MIDAS,MIDAS
Russian Federation,DLO,0.98,2022,Russia Additional Drug Supply Audit (DLO),Government Tender,6 tender websites,N/A,Not projected,Monthly,From M01 2005,Trade,Russian Rubles,DOT,-,-,"Notes

•    The DLO (Additional Drugs Supply) audit captures a state restricted drug reimbursement program which was introduced in 2005 to provide subsidized pharmaceuticals in the out-patient sector for the disabled, war veterans, children under 3 years of age and families with 3 or more children

•    Those benefiting from the program receive free treatment: there is no prescription charge or official co-payment for patients on the program. There is a list of products included in the DLO program which are put out to tender to wholesalers who compete for contracts to supply the products

•    The price that IQVIA currently monitors for the DLO panel is the trade price which reflects the published price paid as the tender reimbursement by the central Russian Authorities

•    Due to complexities with the data acquisition process, there is some level of double- counting for some products between the DLO and RLO audits",0.09,Monthly,From M01 2005,Local & MIDAS,MIDAS
Russian Federation,Hospital,0.98,2022,Russian Federation Hospital Index (RFHI),Hospital Sell-in,Official website of Government platform for purchasing,"5,400 Hospitals; 18,600 Polyclinics",Not projected,Monthly,144 months,Trade,Russian Rubles,DOT,Penitentiary Hospitals,-,"Notes

•   In 2013 a new hospital audit was launched, integrating the IQVIA and Pharmexpert panel, with backdata from Q1 2010
•   The audit captures regional non- reimbursed state tender procurement transactions, in addition to the hospital self-procurement transactions
•   The sample included panel comprising 630 hospitals until 2016 and is now no longer used",0.17,Monthly,From M01 2004,Local & MIDAS,MIDAS
Russian Federation,Retail,0.98,2022,Russian Federation Pharmaceutical Index (RFPI),Retail Sell-in,"23,000 pharmacies including private pharmacies, private kiosks, state pharmacies, state kiosks","63,090 pharmacies including private pharmacies, private kiosks, state pharmacies, state kiosks",300 territorial factors,Monthly,144 months,Trade,Russian Rubles,DOT,-,"Food and other supplements, homeopathy, other medicines","Notes

•   The RFPI audit covers purchases in retail pharmacies including private pharmacies, private kiosks, state pharmacies, state kiosks
•   The IQVIA universe is 63,090 retail pharmacies and the sample size used is 23,000 pharmacies
•   The data is projected with 300 territorial factors
•   The actual Retail Sell-Out price is reflected locally, in addition to the manufacturer, trade and public prices which are available on MIDAS",0.65,Monthly,60 months,Local & MIDAS,MIDAS
Romania,Hospital,1,2022,Romania Hospital Index (ROHI),Hospital Sell-in,45 Wholesalers (covering 95% market share),461 Hospitals,Not projected,Monthly,From M01 2005,Trade,Romanian Lei,DOT,-,-,"Notes

•   The ROHI provides data on wholesaler sales to hospitals. The hospital universe comprises 461 hospitals, with 45 wholesalers in the sample size, representing 95% of the market share by value. No projection factor is applied to the audit",0.15,Monthly,60 months,Local & MIDAS,Local
Romania,Sell-Out,1,2022,Romania Sell-out Sales National Service (ROSO),Retail Sell-out,"3,600 pharmacies (covering 70% market share)","7,542 Pharmacies",Yes,Monthly,From M01 2009,Trade,Romanian Lei,DOT,-,-,"Notes

•   The Sell-out Sales National Service audit covers sales from retail pharmacies to patients/end users. The IQVIA universe is 7,542 pharmacies, while the sample size covers 3,600 pharmacies, which collectively represent 70% of the market share
by value",0.85,Monthly,60 months,Local & MIDAS,Local
Romania,Retail,1,2022,Romania Pharmaceutical Index (ROPI),Retail Sell-in,45 Wholesalers (covering 95% market share),"7,542 Pharmacies",Yes (one wholesaler is projected),Monthly,144 months,Trade,Romanian Lei,DOT,-,-,"Notes

•   The ROPI covers wholesalers' sales to retail pharmacies. The IQVIA universe is 7,542 pharmacies, while the sample size covers 45 wholesalers, covering 99% of the market share by value",0.85,Monthly,60 months,Local & MIDAS,Local
Puerto Rico,Hospital,,2022,IQVIA Xponent Puerto Rico (PRSA),Hospital Sell-in,"Suppliers - wholesalers, distributors and some direct sales (93% market coverage)","Hospitals, nursing homes",Not projected,Monthly,144 months,Manufacturer,US Dollars,USC,-,-,"Notes

•   The Puerto Rico Hospital MIDAS panel matches the PRSA Hospital channel in the audit",,Monthly,60 months,Local,MIDAS
Puerto Rico,Retail,,2022,IQVIA Xponent Puerto Rico (PRSA),Retail Sell-in,"Suppliers - wholesalers, distributors and some direct sales (93% market coverage)","Pharmacies, foodstores",Not projected,Monthly,144 months,Manufacturer,US Dollars,USC,-,"Mail Order values, Non-Reporting Wholesalers","Notes

•    The Puerto Rico Retail MIDAS panel contains data from both the Retail and Non Retail channels of the PRSA

•    The PRSA includes Mail Order value in the Non Retail Channel (but not units) Mail Order value is not included in the MIDAS output since the Mail Order Units are not collected or applied locally and MIDAS processing requires the presence of both sales & unit data. The Mail Order segment equates to approx. 1-2% value of the total Puerto Rico market

•    The Non Reporting Wholesalers channel is also available locally but not on MIDAS. Reporting wholesalers report to IQVIA the movement of products they sell to a physical outlet. However, in some instances a manufacturer will sell to a wholesaler who does not report their sales transactions. These purchases cannot be categorized into Retail, Hospital or Non Retail, hence are termed Non Reporting Wholesalers",,Monthly,60 months,Local,MIDAS
Portugal,Hospital,1,2022,Estudo Hospitalar Nacional (EHN),Hospital Consumption,23 hospitals,50 hospitals,Yes,Monthly,From M01 2010,Manufacturer,Euro,-,"Central hospitals specialized in psychiatry, ophthalmology and alcoholism, district level 1 hospitals",-,"Notes

•   The Hospital Universe only includes Public Hospitals (SNS) with the exclusion of central hospitals specialized in Psychiatry, Ophthalmology and Alcoholism
•   Also excluded from the universe are District Level 1 type hospitals (hospitals of local relevance) due to their size and contribution in terms of consumptions. The rule applied is: if a District Level 1 hospital is not part of a hospital centre, it does not count in the Universe; when part of a hospital group, then it counts
•   Portuguese islands (Azores and Madeira) are not covered",0.42,Monthly,24 months,Local,Local
Portugal,Retail,1,2022,Informação Farmaceutica Portugal (IFP),Retail Sell-in,Wholesalers and agents (99% of market),"2,918 pharmacies",Projection methodology based on 571 regional projection factors,Monthly,144 months,Manufacturer,Euro,Full sales – includes export volumes and values,-,Exports,"Notes

•   The Portuguese audit provides data on pharmaceutical sales from wholesalers and the agents of the Madeira Islands and the Azores
•   The universe used by IQVIA is 2,918 pharmacies, with a sample design of wholesalers and agents which amount to 99% of the total pharmaceutical market
•   Projection methodology is based on 571 regional projection factors",0.58,Monthly,36 months,Local,Local
Poland,Hospital,1,2022,Poland Hospital Index (PLHI),Hospital sell-in,88 wholesaler warehouses,250 wholesaler warehouses,Projected to brick level and then summarized to national level,Monthly,144 months,Manufacturer,Polish Zloty,"DDD, DOT",-,-,"Notes

•   The PLHI covers indirect sales from wholesalers to hospitals and direct sales from producers to hospitals
•   The universe size is 250 wholesaler warehouses, of which the sample
is 88
•   All data is projected to hospital brick level and then summarized to national level",0.15,Monthly,60 months,Local and MIDAS,Local
Poland,Retail,1,2022,Poland Pharmaceutical Index (PLPI),Retail Sell-in,150 wholesaler warehouses,163 wholesaler warehouses,Projected to brick level and then summarized to national level,Monthly,144 months,Manufacturer,Polish Zloty,"DDD, DOT",-,-,"Notes

•   The PLPI provides data from wholesalers. Poland has a universe of 13,380 retail pharmacies
•   The universe size for active wholesalers is 163 wholesaler warehouses, of which the sample is 150 wholesaler warehouses. This represents purchases by retail pharmacies from wholesalers (indirect sales)
•   All data is projected to brick level and then summarized to national level",0.85,Monthly,60 months,Local and MIDAS,Local
Philippines,Hospital,1,2022,Philippine Hospital Pharmaceutical Audit (PHPA),Hospital Sell-in,"Distributors and direct manufacturers representing 84% of total hospital market, and panel of 99 (60 Private, 39 Government) hospital pharmacies","818 hospitals with 90,377 beds",Data from distributors and direct manufacturers is unprojected. Hospital pharmacy panel data projected by type and by bed size,Monthly,144 months,Trade,Philippine Peso,-,-,-,"Notes

•   The PHPA covers private and government hospitals and clinics, HMOs, government agencies and hospital traders
•   The audit sources data from Distributors and Direct Manufacturers (DDM) and a sample of 99 hospitals nationwide. The DDM data suppliers include the two biggest drug distributors in addition to direct manufacturers, i.e., companies with their own distribution network and facilities
•   The panel of 99 hospitals supplies data for companies not providing DDM data to IQVIA. A projection factor is then applied to this data. The panel consists of both private and government hospitals with at least
26 beds",0.11,Monthly,60 months,Local,-
Philippines,Retail,1,2022,Philippine Pharmaceutical Index (PPI),Retail Sell-in,"Distributors and direct manufacturers representing 90% of total retail market, and panel of 265 drugstores","8,198 pharmacies",Data from distributors and direct manufacturers is unprojected. Drugstore panel data projected by type and by region,Monthly,144 months,Trade,Philippine Peso,-,-,-,"Notes

•   The PPI is an audit of non-hospital outlets: drugstores, clinics without beds, industrials and pharmaceutical traders
•   The audit sources data from Distributors and Direct Manufacturers (DDM) and a sample of 265 drugstores nationwide. The DDM data suppliers include the two biggest drug distributors in addition to direct manufacturers, i.e., companies with their own distribution network
and facilities
•   The panel of 265 drugstores supplies data for companies not providing DDM data to IQVIA. A projection factor is then applied to this data. The panel consists of both chain and independent drugstores with Peso Turnover Size Classification of
< 1,280,000",0.89,Monthly,60 months,Local,-
Peru,Retail,0.67,2022,Mercado Farmacéutico Perú (PMP),Retail Sell-in,"26 wholesalers, 42 manufacturers","8,494 pharmacies",Not projected,Monthly,144 months,Trade,Nuevo Sol,DDD,-,-,"Notes

•   The PMP includes generics and ethical products, i.e. products carrying a brand name but not publicly advertised. Also included are OTC products if they are sold through pharmacies
•   The Peru audit covers 67% of the total pharma market, and is not projected",0.67,Monthly,60 months,Local,-
Pakistan,Retail,0.85,2022,Pakistan Pharmaceutical Index (PKPI),Retail Sell-in,"300 Pharmacies, >1,000 Distributors","58,541 pharmacies",Ex-distributors sales unprotected; panel pharmacy sales projected,Monthly,144 months,Trade,Pakistani Rupees,-,"Hospitals, social health insurance, government institutions, groceries",-,"Notes

•   The PKPI covers all ex-distributors sales to retail pharmacies, wholesalers, Doctor’s pharmacies and Private Hospital’s pharmacies and all pharmacy (panel) purchase of pharmaceutical products from wholesalers, distributors and pharmaceutical companies, including milks and baby foods",0.85,Monthly,60 months,Local,-
Norway,Hospital,1,2022,Norwegian Pharmaceutical Hospital Index (NPHI),Hospital Sell-in,100% hospital pharmacies,"Hospitals, including psychiatric and somatic hospitals","Not projected, census coverage",Monthly,144 months,Trade,Norwegian Krone,-,-,-,"Notes

•   The NPHI covers 100% of the sales from wholesaler to hospitals with hospital pharmacies
•   The panel also covers hospitals without their own hospital pharmacy, but with direct purchase (mainly infusion solutions) from wholesalers, and sales of blood products to all hospital blood banks",0.17,Monthly,36 months,Local,-
Norway,Retail,1,2022,Norwegian Pharmaceutical Index (NPI),Retail Sell-in,100% of retail pharmacies,100% of retail pharmacies,"Not projected, census coverage",Monthly,144 months,Trade,Norwegian Krone,-,-,Veterinary audit,"Notes

•   In Norway, all registered pharmaceutical products are sold through retail pharmacies (privately owned pharmacies or publicly owned hospital pharmacies). The only exception to this is the sale of large volume hospital solutions, which goes directly from wholesaler to the hospitals
•   From Q1 1993, export sales and strategic stockpile figures are also included
•   Wholesalers own the pharmacy chains and almost every pharmacy belongs  to a chain and then again to a wholesaler, so are vertically integrated",0.83,Monthly,36 months,Local,-
New Zealand,Hospital,0.97,2022,New Zealand Hospital Index (NZHI),Hospital Sell-in,Participating District Health Boards supplemented by manufacturer and wholesaler data,"20 District Health Boards, 215 Private Hospitals, Clinics and Physicians","Direct sales projected, indirect sales not projected",Monthly,144 months,Manufacturer,New Zealand Dollar,-,"Government, Health Store, Optometrists, Generic Outlets, Department & Grocery Outlets, Veterinary, Rural Outlets","Private outlets audit (NZHIPSI) available locally, not included in MIDAS","Notes

•   For indirect sales, the NZHI projection methodology = 1 (no projection)
•   For direct sales measured through the Hospital Panel, projection factors are the reciprocal of the sampling fraction based on the number of Health Boards
•   Locally there is a separate audit for private outlets (NZHIPSI)",0.21,Monthly,24 – 60 months,MIDAS,-
New Zealand,Retail,0.97,2022,New Zealand Pharmaceutical Index (NZPI),Retail Sell-in,"Wholesaler and manufacturer data covering approximately 98% of sales, supplemented by retail store panel","1,076 pharmacies","Wholesaler and retail store panel direct sales projected
Manufacturer data unprojected",Monthly,144 months,Manufacturer,New Zealand Dollar,-,-,-,"Notes

•   The NZPI shows wholesaler and manufacturer data covering approximately 98% of sales, supplemented by retail store panel",0.78,Monthly,24 – 60 months,MIDAS,-
Netherlands,Hospital IMS,0.95,2022,Netherlands – IMS Hospital Audit (ZHS),Hospital Sell-in,3 wholesalers,696 Hospitals,No,Monthly,From M01 2011,Trade,Euro,DOT,"Hospital Budget transfers (Growth Hormones, Fertility, Oral Oncolytics, TNF-alfa inhibitors)","Hospital Claims Data, Budget Transfer Monitor","Notes

•    The ZHS is based on the sell-in sales provided by the three major wholesalers for Hospitals in the Netherlands (Alliance, Brocacef, Mediq). This includes their deliveries of prescription medicines to hospitals and other institutions such as clinics, elderly care centres, mental health institutes, etc.
•    The data is automatically provided by the wholesalers based on an extract of their administration. The data collected from this panel is unprojected, therefore it is
census data
•    Sales from non-participating wholesalers, traders or direct deliveries from manufacturers are not included in
the audit
•    IMS Hospital Wholesale excludes the markets transferred to hospital budgets (Growth Hormones, Fertility, oral oncolytics and TNF- alfa inhibitors). For those segments IQVIA has other solutions as Hospital Claims data and Budget Transfer Monitor",0.37,Monthly,From M01 2011,Local,-
Netherlands,Xponent,0.95,2022,Netherlands – National Prescription Audit (XFIN),Retail Sell-out,"1,192 Pharmacies, 140 dispensing general practitioners","2,008 pharmacies, 3,147 drugstores, 337 dispensing physicians","Yes, weighted projection",Monthly,72 months,Trade,Euro,DOT,-,-,"Notes

•    The XFIN audit covers the deliveries of prescription bound medicines through the official pharmacists and dispending general practitioners

•    The sample is representative of the type of outlet (retail pharmacy/dispensing general practitioner), regional differences such as brick and degree of urbanisation, as well as large pharmacy chains

•    XFIN data is collected through the computer systems of a panel of pharmacists and dispensing general practitioners. The data obtained from the panel are projected to the universe, based on a weighted projection method

•    In comparison with the wholesalers’ data of FARMINFORM, the XFIN covers all parallel imports. Furthermore the XFIN does not include the parallel export generated at pharmacy level",0.58,Monthly,36 months,Local,-
Netherlands,Hospital,0.95,2022,Farmacutische Index Nederland – Hospital (FIN-ZHS),Hospital sell-in,Census system of wholesalers,696 hospitals and nursery homes,No,Monthly,144 months,Manufacturer,Euro,-,"Home-made products of the pharmacies, Non registered homeopathic products, cosmetics, dressings, Veterinary products, Desensibilisation products, Non registered OTC-products",-,"Notes

•   The FIN-ZHS audit is sourced by Farminform – any access via MIDAS requires a direct underlying subscription with Farminform as
a requirement
•   The FIN-ZHS is an audit of sales of registered pharmaceuticals/medicines through wholesalers and Manufacturers, and represents a near- census system of wholesalers and OTC dealers and manufacturers
•   Participating wholesalers: Brocacef, Etos, Viafarma (previous Euromedica, Interpharm (incl. Dynadro), Mosadex, OPG Groothandel, OPG/Medico, Pluripharm, Regifarm, Stephar, Unipharma",0.37,Monthly,60 months,-,-
Netherlands,Retail,0.95,2022,Farmacutische Index Nederland (FIN),Retail Sell-in,Census system of wholesalers,"1,542 pharmacies, 3,147 drugstores, 629 dispensing physicians",No,Monthly,144 months,Manufacturer,Euro,-,"Home-made products of the pharmacies, Non registered homeopathic products, cosmetics, dressings, Veterinary products, Desensibilisation products, Non registered OTC-products",-,"Notes

•   The FIN audit is sourced by Farminform – any access via MIDAS requires a direct underlying subscription with Farminform as a requirement
•   The FIN is an audit of sales of registered pharmaceuticals/medicines through wholesalers and Manufacturers, and represents a near- census system of wholesalers and OTC dealers and manufacturers
•   Participating wholesalers: Brocacef, Etos, Viafarma (previous Euromedica, Interpharm (incl. Dynadro), Mosadex, OPG Groothandel, OPG/Medico, Pluripharm, Regifarm, Stephar, Unipharma",0.58,Monthly,60 months,-,-
Morocco,Retail,0.88,2022,Le Marche Pharmaceutique Marocain (LMPM),Retail Sell-in,"40 wholesalers, 104 pharmacies, 11 laboratories","52 wholesalers, 8,585 pharmacies",Yes,Monthly,144 months,Manufacturer,Moroccan Dirham,-,"Hospitals, clinics",Local monthly deliverable contains indirect sales only,"Notes

•   The data on MIDAS and MMIDAS contains both direct and indirect sales, in line with the Moroccan Quarterly Audit (LMPM)
•   When the data is viewed monthly on MMIDAS, the direct sales will be seen in the last month of a quarter i.e. M03, M06, M09 and M12
•   The local monthly Dataview contains indirect sales only and therefore does not match MMIDAS at M03, M06, M09 and M12",0.88,Monthly,60 months,Local,MIDAS
Mexico,Non-Retail,1,2022,Non-Retail Channels (NRC),Non-Retail Sell-in,"2 HMOs, 19 Manufacturers, 50 wholesalers","4,500 POS including public and private hospitals, and non-retail related services",Not projected,Monthly,From M01 2004,Trade,Mexican Peso,DDD,-,Local government tender,"Notes

•   The NRC audit contains details of sales to government institutions with general purchasing, government hospitals with an institutional segment and decentralized purchasing, private hospitals and private clinics open to public in general and non-classifiable sales
•   Audit & MIDAS access is only available to clients participating in the data collection structure. The Non- Retail channel is excluded from syndicated publications such as World Review
•   Non-retail data is sourced from government data from the two major HMOs (IMSS, ISSSTE), the 50 data suppliers from PMM and the invoicing from 19 companies
•   Local government tender data is included in the local audit, but not included on MIDAS",0.39,Monthly,60 months,MIDAS,Local
Mexico,Sell Out,1,2022,Pharmaceutical Market Mexico (PMM) SOSI,Retail Sell-out,"Pharmacy chains, supermarkets, wholesalers, sub-distributors, telemarketing","43,000 retail outlets – 83% supermarkets and pharmacies (chain and independent), 17% convenience stores, sub-distribution",Projected to a national estimate using 6 regional factors,Monthly,From June 2015,Public,Mexican Peso,DDD,-,-,"Notes

•   PMM SOSI data in Mexico comes from pharmacy chains and wholesalers
•   Mexico has a universe of
93 wholesalers and pharmacy chains with more than 120 branches, and/or distribution centres
•   The data for Mexico Sell out is a mixture of sell-out (77%) and sell-in (23%) data sources
•   The data obtained is projected to a national estimate using 6 regional factors, and covers approximately 69% of total Mexican pharmaceutical market sales in values",0.61,Monthly,60 months,MIDAS,Local
Mexico,Retail,1,2022,Pharmaceutical Market Mexico (PMM) SISO,Retail Sell-in,"50 wholesalers, pharmacy chains covering 96% of indirect sales",93 wholesalers and pharmacy chains with more than 120 branches and/or distribution centres,Projected to a national estimate using 6 regional factors,Monthly,144 months,Trade,Mexican Peso,DDD,-,-,"Notes

•   PMM data in Mexico comes from pharmacy chains and wholesalers
•   Mexico has a universe of
93 wholesalers and pharmacy chains with more than 120 branches, and/or distribution centres
•   The sample size used is
50 wholesalers/pharmacy chains including total sales to pharmacies through 60 branches covering 96.15% of indirect sales
•   The data obtained is projected to a national estimate using 6 regional factors, and covers approximately 69% of total Mexican pharmaceutical market sales in values",0.61,Monthly,60 months,MIDAS,Local
Malaysia,Government Hospital,0.82,2022,Malaysia Government Report (MGR),Hospital Sell-in,Data from distributors and direct manufacturers,"126 public hospitals, 4 institution hospitals","No projection, as data from distributors & direct manufacturers is census",Quarterly,48 quarters,Trade,Malaysian Ringgit,"DDD, DOT","Chinese medicine halls, supermarkets, vets, non-pharmacist drugstores and retail outlets, exports",-,"Notes

•   The public hospital sector accounts for about 34% of the West and East Malaysia total pharmaceutical market
•   The audit is based on the sales of ethical and OTC preparations awarded to any Malaysian public hospitals, polyclinics and institutions",0.26,Quarterly,20 quarters,Local,-
Malaysia,Combined,0.82,2022,Malaysia Pharmaceutical Audit (MPA),Combined Sell-in,"117 doctors, 3,506 hospitals beds, 667 pharmacies, plus distributors & direct manufacturers panel","11,699 doctors, 3,226 pharmacies, 11,711 hospital beds","Projected by panel type, DDM sales are unprojected",Quarterly,48 quarters,Trade,Malaysian Ringgit,"DDD, DOT","Chinese medicine halls, supermarkets, vets,non-pharmacist drugstores and
retail outlets, exports",-,"Notes

•   The MPA is based on the sales movement of ethical and OTC preparations through the dispensing doctors, private hospital and retail pharmacies located throughout Malaysia
•   Due to the nature of the sample, the audit covers both the pharmaceuticals officially marketed by companies operating in Malaysia as well as products which are parallel imported
•   The audit does not include the sales of pharmaceuticals to supermarkets,
non-pharmacist drugstores and retail outlets, and exports to other countries",0.56,Quarterly,20 quarters,Local,-
Luxembourg,Retail,0.98,2022,Le Marche Pharmaceutique Luxembourgeois (LMPL),Retail Sell-in,"20 pharmacies, 4 wholesalers + 1 Belgian wholesaler","85 pharmacies, 4 wholesalers + 1 Belgian wholesaler","No projection for indirect sales (100% coverage) Direct sales projected, factor changes monthly",Monthly,144 months,Manufacturer,Euro,-,Hospitals,-,"Notes

•   All units are calculated by their wholesaler purchase price without VAT. Discounts are not taken into consideration",0.98,Monthly,144 months,MIDAS,MIDAS
Lithuania,Hospital,0.99,2022,Lithuania Hospital Index (LTHI),Hospital Sell-in,6 wholesalers (83% market share),30 wholesalers,Yes,Monthly,144 months,Trade,Euro,"DDD, DOT",-,-,"Notes

•   The LTHI covers wholesaler sales to hospitals",0.08,Monthly,72 months,MIDAS,-
Lithuania,Retail,0.99,2022,Lithuania Pharmaceutical Index (LTPI),Retail Sell-in,9 wholesalers (99% market share),30 wholesalers,No,Monthly,144 months,Trade,Euro,"DDD, DOT",-,-,"Notes

•   The LTPI covers wholesaler sales to pharmacies",0.92,Monthly,72 months,MIDAS,MIDAS
Lebanon,Retail,0.77,2022,Lebanon Pharmaceutical Index (LPI),Retail Sell-in,"81 pharmacies, 28 distributors","2,599 Pharmacies","Pharmacy data is projected, distributor data is unprojected",Monthly,144 months,Trade,Lebanese Lira,-,"Health care centres, hospitals, government institutions",-,"Notes

•   The LPI does not cover the consumption of drugs distributed directly to health care centres, hospitals and government institutions",0.77,Monthly,60 months,Local and MIDAS,-
Latvia,Hospital,1,2022,Latvia Hospital National Pharmaceutical Data,Hospital,12 wholesalers,30 wholesalers,Yes,Monthly,From Jan 2013,Trade,Euro,DOT,-,-,"Notes

•   The Latvia Hospital panel on MIDAS cover volumes sold from wholesalers to hospital pharmacies
•   It represents ~8% of the total Latvia pharmaceutical market",0.08,Monthly,72 months,MIDAS,-
Latvia,Retail,1,2022,Latvia Pharmaceutical Index (LVPI),Retail Sell-out,450 Pharmacies,850 Pharmacies,Yes,Monthly,144 months,Trade,Euro,"DDD, DOT",Hospitals,-,"Notes

•   Latvia Retail data collection changed from sell-in to sell-out with the M07 2012 data update
•   Sell-out backdata is available from M07 2010, with the sell-in backdata being retained on MIDAS up to M06 2010
•   Locally, the LVPI displays values at both wholesaler (trade) and retail (public) levels – MIDAS uses an average margin factor to calculate the public level",0.92,Monthly,72 months,MIDAS,-
Kuwait,Retail,0.35,2022,Pharmaceutical Index – Kuwait (PIK),Retail Sell-in,"18 pharmacies, 18 distributors","450 pharmacies, 14 private hospitals",Yes,Monthly,144 months,Public,Kuwaiti Dinar,-,-,"Institutional hospitals and organizations, tenders via LPO","Notes

•    PIK Reports on purchases of private pharmacies, private clinics and hospitals and private companies
•    PIK audit does not cover the consumption of drugs distributed directly by health centres, hospitals and government institutions
•    The hospitals in the panel are considered as an integral part of the private market. These clinics or polyclinics, where people mainly see doctors practicing in the clinics, but who do not require hospitalization
•    Government institutions and semi-institutions are covered in a separate locally available audit, the KLPO
•    KLPO measures direct sales from panel distributors to institutional and semi- institutional hospitals and organizations, and most tenders
•    Both PIK and KLPO cover 98% of the market, of which 35% is attributed to PIK and 65% to KLPO.",0.35,Monthly,60 months,Locl,MIDAS
Korea,Clinic,0.99,2022,Korea Clinic Pharmaceutical Audit (KCPA),Hospital Sell-in,490 clinics,"31,978 clinics",Yes,Quarterly,144 months,Trade,Korean Won,-,"Raw materials, exports, military supplies",-,"Notes

•    Private doctor clinics with less than 30 beds formed the third largest generator of pharmaceutical drug consumption in the Republic of Korea in 2000. Prior to the implementation of the Separation of Prescribing from Dispensing (SPD), clinics represented approximately 17% of the total pharmaceutical market
•    From 1st August 2000, clinic doctors have to issue prescriptions to patients, which are to be filled in the pharmacies. The clinics are still allowed to dispense a limited range of pharmaceuticals, e.g. vaccines and some injections
•    These clinics are distributed throughout the country’s 9 provinces but 34% of them are concentrated in 2 cities, Seoul and Pusan
•    The KCPA is a nation-wide survey which monitors the pharmaceutical business generated by this sector (both consumed and prescribed for dispensing elsewhere)
•    The Hospital and Clinic channels capture the in-patient market and the Retail (Pharmacy) channel captures the out-patient market",0.077,Quarterly,60 months,-,-
Korea,Hospital,0.99,2022,Korea Hospital Pharmaceutical Audit (KHPA),Hospital Sell-in,175 hospitals,"1,695 (1,324 General and 371 Specialized) hospitals",Yes,Quarterly,144 months,Trade,Korean Won,-,"Raw materials, exports, military supplies",-,"Notes

•   The KHPA is a nation-wide survey which covers the purchases of pharmaceutical products of hospitals (both general and specialized) with more than 30 beds in the Republic of Korea
•   Special hospitals such as the leprosy hospital, tuberculosis asylum, pediatrics and internal medicine
are excluded
•   The audit does not cover the sales of pharmaceuticals products through clinics which normally have less than 30 beds each, which is covered by the Korea Clinic Audit
•   The Hospital and Clinic channels capture the in-patient market and the Retail (Pharmacy) channel captures the out-patient market",0.275,Quarterly,60 months,-,-
Korea,Retail,0.99,2022,Korea Pharmaceutical Audit (KPA),Retail Sell-in,"111 wholesalers, 540 drugstores","24,421 drugstores",Yes,Monthly,144 months,Trade,Korean Won,-,"Raw materials, exports, military supplies",-,"Notes

•    The KPA measures sales data relating to purchases of pharmaceuticals (ethicals and OTC preparations) through drugstores

•    IQVIA figures give a universe size of 24,421 drugstores operated by qualified pharmacists. These drugstores are distributed throughout the country’s
9 provinces but 30% of them are concentrated in 2 cities, Seoul and Pusan

•    The sales data (purchase invoices/records) is received from both 540 panel drugstores and 111 panel wholesalers. Data from panel wholesalers has been included from January 2002. Indirect sales are therefore projected separately to the direct sales, which remain based on the panel drugstores. This sales data represents purchases from manufacturers, wholesalers and other sources
e.g. importers are collected from the drugstores",0.637,Monthly,60 months,-,-
